dtm,f
2024-01-01 00:08:29,49.886
2024-01-01 00:08:30,49.888
2024-01-01 00:08:31,49.888
2024-01-01 00:08:32,49.884
2024-01-01 00:08:33,49.885
2024-01-01 00:08:34,49.887
2024-01-01 00:08:35,49.887
2024-01-01 00:08:36,49.887
2024-01-01 00:08:37,49.89
2024-01-01 00:08:38,49.891
2024-01-01 00:08:39,49.89
2024-01-01 00:08:40,49.888
2024-01-01 00:08:41,49.889
2024-01-01 00:08:42,49.89
2024-01-01 00:08:43,49.889
2024-01-01 00:08:44,49.889
2024-01-01 00:08:45,49.891
2024-01-01 00:08:46,49.892
2024-01-01 00:08:47,49.891
2024-01-01 00:08:48,49.889
2024-01-01 00:08:49,49.89
2024-01-01 00:08:50,49.888
2024-01-01 00:08:51,49.887
2024-01-01 00:08:52,49.885
2024-01-01 00:08:53,49.887
2024-01-01 00:08:54,49.885
2024-01-01 00:08:55,49.887
2024-01-01 00:08:56,49.884
2024-01-01 00:08:57,49.887
2024-01-01 00:08:58,49.887
2024-01-01 00:08:59,49.884
2024-01-01 00:09:00,49.887
2024-01-01 00:09:01,49.885
2024-01-01 00:09:02,49.883
2024-01-01 00:09:03,49.886
2024-01-01 00:09:04,49.887
2024-01-01 00:09:05,49.887
2024-01-01 00:09:06,49.885
2024-01-01 00:09:07,49.883
2024-01-01 00:09:08,49.881
2024-01-01 00:09:09,49.881
2024-01-01 00:09:10,49.878
2024-01-01 00:09:11,49.876
2024-01-01 00:09:12,49.876
2024-01-01 00:09:13,49.874
2024-01-01 00:09:14,49.875
2024-01-01 00:09:15,49.874
2024-01-01 00:09:16,49.876
2024-01-01 00:09:17,49.879
2024-01-01 00:09:18,49.88
2024-01-01 00:09:19,49.881
2024-01-01 00:09:20,49.879
2024-01-01 00:09:21,49.879
2024-01-01 00:09:22,49.877
2024-01-01 00:09:23,49.877
2024-01-01 00:09:24,49.877
2024-01-01 00:09:25,49.877
2024-01-01 00:09:26,49.878
2024-01-01 00:09:27,49.88
2024-01-01 00:09:28,49.883
2024-01-01 00:09:29,49.885
2024-01-01 00:09:30,49.885
2024-01-01 00:09:31,49.89
2024-01-01 00:09:32,49.895
2024-01-01 00:09:33,49.898
2024-01-01 00:09:34,49.902
2024-01-01 00:09:35,49.909
2024-01-01 00:09:36,49.917
2024-01-01 00:09:37,49.925
2024-01-01 00:09:38,49.929
2024-01-01 00:09:39,49.933
2024-01-01 00:09:40,49.935
2024-01-01 00:09:41,49.935
2024-01-01 00:09:42,49.933
2024-01-01 00:09:43,49.939
2024-01-01 00:09:44,49.944
2024-01-01 00:09:45,49.948
2024-01-01 00:09:46,49.952
2024-01-01 00:09:47,49.954
2024-01-01 00:09:48,49.954
2024-01-01 00:09:49,49.951
2024-01-01 00:09:50,49.95
2024-01-01 00:09:51,49.954
2024-01-01 00:09:52,49.954
2024-01-01 00:09:53,49.955
2024-01-01 00:09:54,49.954
2024-01-01 00:09:55,49.957
2024-01-01 00:09:56,49.958
2024-01-01 00:09:57,49.959
2024-01-01 00:09:58,49.958
2024-01-01 00:09:59,49.957
2024-01-01 00:10:00,49.957
2024-01-01 00:10:01,49.958
2024-01-01 00:10:02,49.959
2024-01-01 00:10:03,49.959
2024-01-01 00:10:04,49.958
2024-01-01 00:10:05,49.954
2024-01-01 00:10:06,49.956
2024-01-01 00:10:07,49.958
2024-01-01 00:10:08,49.96
2024-01-01 00:10:09,49.96
2024-01-01 00:10:10,49.959
2024-01-01 00:10:11,49.962
2024-01-01 00:10:12,49.962
2024-01-01 00:10:13,49.962
2024-01-01 00:10:14,49.963
2024-01-01 00:10:15,49.966
2024-01-01 00:10:16,49.965
2024-01-01 00:10:17,49.965
2024-01-01 00:10:18,49.968
2024-01-01 00:10:19,49.969
2024-01-01 00:10:20,49.968
2024-01-01 00:10:21,49.971
2024-01-01 00:10:22,49.975
2024-01-01 00:10:23,49.978
2024-01-01 00:10:24,49.978
2024-01-01 00:10:25,49.98
2024-01-01 00:10:26,49.981
2024-01-01 00:10:27,49.981
2024-01-01 00:10:28,49.981
2024-01-01 00:10:29,49.982
2024-01-01 00:10:30,49.983
2024-01-01 00:10:31,49.983
2024-01-01 00:10:32,49.981
2024-01-01 00:10:33,49.981
2024-01-01 00:10:34,49.981
2024-01-01 00:10:35,49.979
2024-01-01 00:10:36,49.976
2024-01-01 00:10:37,49.979
2024-01-01 00:10:38,49.981
2024-01-01 00:10:39,49.984
2024-01-01 00:10:40,49.986
2024-01-01 00:10:41,49.991
2024-01-01 00:10:42,49.994
2024-01-01 00:10:43,49.997
2024-01-01 00:10:44,50.004
2024-01-01 00:10:45,50.013
2024-01-01 00:10:46,50.021
2024-01-01 00:10:47,50.026
2024-01-01 00:10:48,50.033
2024-01-01 00:10:49,50.036
2024-01-01 00:10:50,50.035
2024-01-01 00:10:51,50.036
2024-01-01 00:10:52,50.036
2024-01-01 00:10:53,50.035
2024-01-01 00:10:54,50.035
2024-01-01 00:10:55,50.036
2024-01-01 00:10:56,50.037
2024-01-01 00:10:57,50.036
2024-01-01 00:10:58,50.033
2024-01-01 00:10:59,50.032
2024-01-01 00:11:00,50.034
2024-01-01 00:11:01,50.032
2024-01-01 00:11:02,50.032
2024-01-01 00:11:03,50.034
2024-01-01 00:11:04,50.035
2024-01-01 00:11:05,50.036
2024-01-01 00:11:06,50.036
2024-01-01 00:11:07,50.035
2024-01-01 00:11:08,50.037
2024-01-01 00:11:09,50.037
2024-01-01 00:11:10,50.036
2024-01-01 00:11:11,50.037
2024-01-01 00:11:12,50.04
2024-01-01 00:11:13,50.041
2024-01-01 00:11:14,50.041
2024-01-01 00:11:15,50.04
2024-01-01 00:11:16,50.042
2024-01-01 00:11:17,50.045
2024-01-01 00:11:18,50.044
2024-01-01 00:11:19,50.044
2024-01-01 00:11:20,50.042
2024-01-01 00:11:21,50.042
2024-01-01 00:11:22,50.042
2024-01-01 00:11:23,50.045
2024-01-01 00:11:24,50.05
2024-01-01 00:11:25,50.053
2024-01-01 00:11:26,50.055
2024-01-01 00:11:27,50.058
2024-01-01 00:11:28,50.062
2024-01-01 00:11:29,50.06
2024-01-01 00:11:30,50.058
2024-01-01 00:11:31,50.058
2024-01-01 00:11:32,50.059
2024-01-01 00:11:33,50.058
2024-01-01 00:11:34,50.057
2024-01-01 00:11:35,50.057
2024-01-01 00:11:36,50.059
2024-01-01 00:11:37,50.058
2024-01-01 00:11:38,50.057
2024-01-01 00:11:39,50.056
2024-01-01 00:11:40,50.058
2024-01-01 00:11:41,50.057
2024-01-01 00:11:42,50.058
2024-01-01 00:11:43,50.059
2024-01-01 00:11:44,50.062
2024-01-01 00:11:45,50.063
2024-01-01 00:11:46,50.061
2024-01-01 00:11:47,50.063
2024-01-01 00:11:48,50.063
2024-01-01 00:11:49,50.06
2024-01-01 00:11:50,50.06
2024-01-01 00:11:51,50.061
2024-01-01 00:11:52,50.061
2024-01-01 00:11:53,50.058
2024-01-01 00:11:54,50.056
2024-01-01 00:11:55,50.059
2024-01-01 00:11:56,50.061
2024-01-01 00:11:57,50.06
2024-01-01 00:11:58,50.062
2024-01-01 00:11:59,50.065
2024-01-01 00:12:00,50.065
2024-01-01 00:12:01,50.062
2024-01-01 00:12:02,50.063
2024-01-01 00:12:03,50.061
2024-01-01 00:12:04,50.059
2024-01-01 00:12:05,50.058
2024-01-01 00:12:06,50.059
2024-01-01 00:12:07,50.059
2024-01-01 00:12:08,50.058
2024-01-01 00:12:09,50.056
2024-01-01 00:12:10,50.057
2024-01-01 00:12:11,50.058
